Excluded Feature,Remaining Feature
Ind. 16.4.2.1,Ind. 5.c.1.1
Ind. 16.7.1.3,Ind. 4.7.1.1
Ind. 2.3.1.1,Ind. 6.3.2.4
Ind. 16.7.1.3,Ind. 4.a.1.6
Ind. 10.7.1.1,Ind. 1.4.1.1
Ind. 10.7.1.1,Ind. 1.5.1.6
Ind. 5.a.1.2,Ind. 12.4.1.5
Ind. 1.2.2.3,Ind. 14.3.1.1
Ind. 14.1.1.9,Ind. 17.1.1.1
Ind. 5.6.2.1,Ind. 14.1.1.8
Ind. 16.7.1.4,Ind. 3.8.1.1
Ind. 5.6.2.16,Ind. 12.4.2.8
Ind. 5.6.2.18,Ind. 14.1.1.8
Ind. 16.1.4.1,Ind. 5.6.2.1
Ind. 16.7.1.4,Ind. 3.d.2.2
Ind. 14.1.1.9,Ind. 10.5.1.1
Ind. 16.1.4.1,Ind. 5.6.2.18
Ind. 4.4.1.1,Ind. 1.4.2.3
Ind. 11.2.1.1,Ind. 5.a.1.2
Ind. 15.6.1.4,Ind. 12.b.1.2
Ind. 16.7.1.4,Ind. 10.7.2.1
Ind. 5.6.2.17,Ind. 12.4.2.9
Ind. 5.6.2.9,Ind. 12.4.2.9
Ind. 16.3.1.1,Ind. 5.a.2.1
Ind. 10.7.1.1,Ind. 6.6.1.10
Ind. 12.4.2.13,Ind. 16.1.3.3
Ind. 5.6.2.1,Ind. 5.a.2.1
Ind. 10.7.1.1,Ind. 6.6.1.19
Ind. 11.6.1.1,Ind. 14.1.1.7
Ind. 3.5.1.1,Ind. 10.1.1.1
Ind. 5.a.1.2,Ind. 3.b.3.1
Ind. 11.2.1.1,Ind. 17.15.1.5
Ind. 16.3.1.1,Ind. 1.4.2.3
Ind. 6.6.1.24,Ind. 17.7.1.4
Ind. 10.7.1.1,Ind. 17.18.3.1
Ind. 2.3.1.1,Ind. 5.a.2.1
Ind. 16.7.1.4,Ind. 9.4.1.1
Ind. 11.4.1.3,Ind. 14.a.1.1
Ind. 17.7.1.5,Ind. 11.5.3.6
Ind. 1.2.2.3,Ind. 6.5.1.2
Ind. 11.4.1.5,Ind. 16.3.1.3
Ind. 11.7.1.1,Ind. 16.3.1.3
Ind. 16.7.1.4,Ind. 3.4.1.1
Ind. 16.7.1.4,Ind. 3.9.1.2
Ind. 16.4.2.1,Ind. 17.15.1.3
Ind. 11.2.1.1,Ind. 12.4.2.11
Ind. 5.a.1.2,Ind. 5.a.2.1
Ind. 3.d.2.2,Ind. 1.4.2.3
Ind. 5.6.2.17,Ind. 8.8.1.2
